index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Type of interaction,Type of effect description,Ecological Level of evidence,Outcome of interaction,Study date,study,publication
Distribución espacial de epifitos em el talo de la macroalga introducida Codium fragile subsp. Tomentosoides em el submareal de Caldera/Contribution 1,Observational,South America,Invasional meltdown,Supported,Field,Marine,Algae,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native as the most abundant epiphyt of another non native,Population,Abundance and or Density,2011,Distribución espacial de epifitos em el talo de la macroalga introducida Codium fragile subsp. Tomentosoides em el submareal de Caldera/Contribution 1,Distribución espacial de epifitos em el talo de la macroalga introducida Codium fragile subsp. Tomentosoides em el submareal de Caldera
The introduced Micropterus salmoides in na equatorial lake: a paradoxal loser in na invasion meltdown scenario?/Contribution 1,Observational,Africa,Invasional meltdown,Undecided,Field,Freshwater,,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Food source/Abundance decline with other introduction,Population,Abundance and or Density,2010,The introduced Micropterus salmoides in na equatorial lake: a paradoxal loser in na invasion meltdown scenario?/Contribution 1,The introduced Micropterus salmoides in na equatorial lake: a paradoxal loser in na invasion meltdown scenario?
Experimental test of biotic resistance to na invasive herbivore provided by potential plant mutualists/Contribution 1,Experimental,North America,Invasional meltdown,Undecided,Field & Enclosure,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,influence of ants on the survival of invasive moths,Individual,"Survival, Growth and or Reproduction",2010,Experimental test of biotic resistance to na invasive herbivore provided by potential plant mutualists/Contribution 1,Experimental test of biotic resistance to na invasive herbivore provided by potential plant mutualists
Strong feeding preference of na exotic generalist herbivore for na exotic forb: a case of invasional antagonism/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Undecided,Lab & Field,Terrestrial,Plants;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,Feeding preference of na invasive upon another and density correlation between them,Individual/Population,Resource/Abundance and or Density,2010,Strong feeding preference of na exotic generalist herbivore for na exotic forb: a case of invasional antagonism/Contribution 1,Strong feeding preference of na exotic generalist herbivore for na exotic forb: a case of invasional antagonism
Contrasting effects of na invasive ant on a native and na invasive plant/Contribution 1,Experimental,Africa,Invasional meltdown,Supported,Field,Terrestrial,Plants;Inscets,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,on non native positively affected anothers growth and reproduction,Individual,"Survival, Growth and or Reproduction",2010,Contrasting effects of na invasive ant on a native and na invasive plant/Contribution 1,Contrasting effects of na invasive ant on a native and na invasive plant
Interactions between two introduced species: Zostera japonica (dwarf eelgrass) facilitates itself and reduces condition of Ruditapes philippinarum (Manila clam) on intertidal flats/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Marine,Plants;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,One invasive reduces condition of the other,Individual,"Survival, Growth and or Reproduction",2010,Interactions between two introduced species: Zostera japonica (dwarf eelgrass) facilitates itself and reduces condition of Ruditapes philippinarum (Manila clam) on intertidal flats/Contribution 1,Interactions between two introduced species: Zostera japonica (dwarf eelgrass) facilitates itself and reduces condition of Ruditapes philippinarum (Manila clam) on intertidal flats
Non-native ecosystem engineer alters estuarine communities/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Field,Marine,Polychaetes,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native habitat host greater abundance of many non native species and changes composition,Population/Community,Abundance and or Density/Composition,2010,Non-native ecosystem engineer alters estuarine communities/Contribution 1,Non-native ecosystem engineer alters estuarine communities
Rhizobial hitchhikers from Down Under: invasional meltdown in a plant-bacteria mutualism?/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants;Eubacteria,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native species trasnported and introduced by another non native,Individual,Implicit measure,2010,Rhizobial hitchhikers from Down Under: invasional meltdown in a plant-bacteria mutualism?/Contribution 1,Rhizobial hitchhikers from Down Under: invasional meltdown in a plant-bacteria mutualism?
"Invasive leaf resources alleviate density dependence in the invasive mosquito, Aedes albopictus/Contribution 1",Experimental & Observational,North America,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Inscets,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,"non native positively affected growth, abundance and survival of another",Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2010,"Invasive leaf resources alleviate density dependence in the invasive mosquito, Aedes albopictus/Contribution 1","Invasive leaf resources alleviate density dependence in the invasive mosquito, Aedes albopictus"
Contrasting patterns of spread in interacting invasive species: Membranipora membranacea and Codium fragile off Nova Scotia/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Marine,Algae;Bryozoan,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native negatively affects the competitor of another,Population,Abundance and or Density,2010,Contrasting patterns of spread in interacting invasive species: Membranipora membranacea and Codium fragile off Nova Scotia/Contribution 1,Contrasting patterns of spread in interacting invasive species: Membranipora membranacea and Codium fragile off Nova Scotia
Facilitative interactions between na exotic mammal and native and exotic plants: hog deer (Axis porcinus) as seed dispersers in south-eastern Australia/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Lab & Field,Terrestrial,Mammals,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native dispersing viable seed of several non natives and natives,Individual,Dispersal,2010,Facilitative interactions between na exotic mammal and native and exotic plants: hog deer (Axis porcinus) as seed dispersers in south-eastern Australia/Contribution 1,Facilitative interactions between na exotic mammal and native and exotic plants: hog deer (Axis porcinus) as seed dispersers in south-eastern Australia
The composition and density of fauna utilizing burrow microhabitats created by non-native burrowing crustacean (Sphaeroma quoianum)/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Marine,Crustaceans,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non natie habitat harbor morenon natives than native habitats,Population/Community,Abundance and or Density/Richness,2010,The composition and density of fauna utilizing burrow microhabitats created by non-native burrowing crustacean (Sphaeroma quoianum)/Contribution 1,The composition and density of fauna utilizing burrow microhabitats created by non-native burrowing crustacean (Sphaeroma quoianum)
Potencial and realized interactions between two aquatic invasive species: Eurasian watermilfoil (Myriophyllum spicatum) and rusty crayfish (Orconectes rusticus)/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Undecided,Field & Enclosure,Freshwater,Plants;Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native promoting dispersal and affecting biomass of another,Population,Dispersal/ Abundance and or Density,2010,Potencial and realized interactions between two aquatic invasive species: Eurasian watermilfoil (Myriophyllum spicatum) and rusty crayfish (Orconectes rusticus)/Contribution 1,Potencial and realized interactions between two aquatic invasive species: Eurasian watermilfoil (Myriophyllum spicatum) and rusty crayfish (Orconectes rusticus)
"Disruption of na exotic mutualism can improve management of na invasive plant: varroa mite, honeybees and biological control of Scotch broom Cytisus scoparius in New Zealand/Contribution 1",Experimental & Observational,Oceania,Invasional meltdown,Undecided,Field,Terrestrial,Plants;Inscets,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native as a parasite of another non native that polinates a third non native. Second case of a non native that feeds on anothers seed,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2010,"Disruption of na exotic mutualism can improve management of na invasive plant: varroa mite, honeybees and biological control of Scotch broom Cytisus scoparius in New Zealand/Contribution 1","Disruption of na exotic mutualism can improve management of na invasive plant: varroa mite, honeybees and biological control of Scotch broom Cytisus scoparius in New Zealand"
Abundance and habitat preferences of the southernmost population of mink: implications for managing a recent island invasion/Contribution 1,Experimental & Observational,South America,Invasional meltdown,Questioned,Field,Freshwater,Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native is less abundant in habitats with another non native,Population,Abundance and or Density,2010,Abundance and habitat preferences of the southernmost population of mink: implications for managing a recent island invasion/Contribution 1,Abundance and habitat preferences of the southernmost population of mink: implications for managing a recent island invasion
Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Freshwater,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native presents higher abundance in areas with other non native,Population,Abundance and or Density,2010,Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus/Contribution 1,Combining data-driven methods and lab studies to analyse the ecology of Dikerogammarus villosus
Treatment-based Markov chain models clarify mechanisms of invasion in na invaded grassland community/Contribution 1,Experimental,South America,Invasional meltdown,Undecided,Field & Enclosure,Terrestrial,Mammals,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"exotic species compete much better than natives in disturbed areas, and rabbits continually propagate disturbance with their digging
with their digging
in disturbed areas, and rabbits continually propagate disturbance
with their digging",Community,Composition,2010,Treatment-based Markov chain models clarify mechanisms of invasion in na invaded grassland community/Contribution 1,Treatment-based Markov chain models clarify mechanisms of invasion in na invaded grassland community
Introduced deer reduce native plant cover and facilitate invasion of non-native tree species: evidence for invasional meltdown/Contribution 1,Experimental,South America,Invasional meltdown,Supported,Enclosure,Terrestrial,Plants;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,Negatively affect native community facilitating invasive species,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2010,Introduced deer reduce native plant cover and facilitate invasion of non-native tree species: evidence for invasional meltdown/Contribution 1,Introduced deer reduce native plant cover and facilitate invasion of non-native tree species: evidence for invasional meltdown
"Facilitative effects of introduced Pacific oysters on native macroalgae are limited by a secondary invader, the seaweed Sargassum muticum/Contribution 1",Experimental,Europe,Invasional meltdown,Supported,Field,Marine,Molluscs;Algae,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native limit the occurence and density on native species in a non native habitat,Population/Community,Impact on population and community,2010,"Facilitative effects of introduced Pacific oysters on native macroalgae are limited by a secondary invader, the seaweed Sargassum muticum/Contribution 1","Facilitative effects of introduced Pacific oysters on native macroalgae are limited by a secondary invader, the seaweed Sargassum muticum"
"Intra-regional transportation of a tugboat fouling community between the ports of Recife and Natal, northeast Brazil/Contribution 1",Observational,South America,Invasional meltdown,Supported,Field,Marine,Molluscs;Ascidian,4,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native serving as a habitat during transport,Individual,Implicit measure,2010,"Intra-regional transportation of a tugboat fouling community between the ports of Recife and Natal, northeast Brazil/Contribution 1","Intra-regional transportation of a tugboat fouling community between the ports of Recife and Natal, northeast Brazil"
"Effects of introduced Canada geese (Branta canadensis) on native plant communities of the southern gulf islands, British Columbia/Contribution 1",Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Birds,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,Plant cover associated to non native spp. Abundance,Population,Abundance and or Density,2010,"Effects of introduced Canada geese (Branta canadensis) on native plant communities of the southern gulf islands, British Columbia/Contribution 1","Effects of introduced Canada geese (Branta canadensis) on native plant communities of the southern gulf islands, British Columbia"
Co-invasion by Pinus and its mycorrhizal fungi/Contribution 1,Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants;Fungi,14,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native species as important simbionts,Community,Richness,2010,Co-invasion by Pinus and its mycorrhizal fungi/Contribution 1,Co-invasion by Pinus and its mycorrhizal fungi
"Invasive species impacts on ecosystem structure and function: A comparison of the Bay of Quinte, Canada, and Oneida Lake, USA, before and after zebra mussel invasion/Contribution 1",Observational,North America,Invasional meltdown,Supported,Field,Freshwater,Molluscs;Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,network analysis (one non native benefits the most from another invader),Population,Implicit measure,2009,"Invasive species impacts on ecosystem structure and function: A comparison of the Bay of Quinte, Canada, and Oneida Lake, USA, before and after zebra mussel invasion/Contribution 1","Invasive species impacts on ecosystem structure and function: A comparison of the Bay of Quinte, Canada, and Oneida Lake, USA, before and after zebra mussel invasion"
"Invader-invader interactions in relation to environmental heterogeneity leads to zonation of two invasive amphipods, Dikerogammarus villosus *Sowinsky( and Gammarus tigrinus Sexton: amphipod pilot species project (AMPIS) report 6/Contribution 1",Experimental,Europe,Invasional meltdown,Questioned,Lab & Field,Freshwater,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Predation/Habitat segregation,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2009,"Invader-invader interactions in relation to environmental heterogeneity leads to zonation of two invasive amphipods, Dikerogammarus villosus *Sowinsky( and Gammarus tigrinus Sexton: amphipod pilot species project (AMPIS) report 6/Contribution 1","Invader-invader interactions in relation to environmental heterogeneity leads to zonation of two invasive amphipods, Dikerogammarus villosus *Sowinsky( and Gammarus tigrinus Sexton: amphipod pilot species project (AMPIS) report 6"
"Do rabbits eat voles? Apparent competition, habitat heterogeneity and large-scale coexistence under mink predation/Contribution 1",Observational,Europe,Invasional meltdown,Supported,Field,Freshwater,Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native present facilitate ohter non native and negatively affected a native,Population,Abundance and or Density/Impact on native species,2009,"Do rabbits eat voles? Apparent competition, habitat heterogeneity and large-scale coexistence under mink predation/Contribution 1","Do rabbits eat voles? Apparent competition, habitat heterogeneity and large-scale coexistence under mink predation"
Destruction without extinction: long-term impacts of na invasive tree species on Galápagos highland vegetation/Contribution 1,Experimental,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native cover increases associated with another invasive,Population,Abundance and or Density,2009,Destruction without extinction: long-term impacts of na invasive tree species on Galápagos highland vegetation/Contribution 1,Destruction without extinction: long-term impacts of na invasive tree species on Galápagos highland vegetation
Preferences of the Ponto-Caspian amphipod Dikerogammarus haemobaphes for living zebra mussels/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Molluscs;Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one native using non native species as habitat ,Individual,Resource,2009,Preferences of the Ponto-Caspian amphipod Dikerogammarus haemobaphes for living zebra mussels/Contribution 1,Preferences of the Ponto-Caspian amphipod Dikerogammarus haemobaphes for living zebra mussels
Rapid dispersal and establisment of a benthic Ponto-Caspian goby in Lake Erie: diel vertical migration of early juvenile round goby/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Freshwater,Molluscs;Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native as main food source,Individual,Resource,2009,Rapid dispersal and establisment of a benthic Ponto-Caspian goby in Lake Erie: diel vertical migration of early juvenile round goby/Contribution 1,Rapid dispersal and establisment of a benthic Ponto-Caspian goby in Lake Erie: diel vertical migration of early juvenile round goby
The diversity of juvenile salmonids does not affect their competitive impact on a native glaxiid/Contribution 1,Experimental,South America,Invasional meltdown,Questioned,Enclosure,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competitive impact on native species (reduced growth),Individual,Impact on native species,2009,The diversity of juvenile salmonids does not affect their competitive impact on a native glaxiid/Contribution 1,The diversity of juvenile salmonids does not affect their competitive impact on a native glaxiid
Are interactions among Ponto-Caspian invaders driving amphipod species replacement in the St. Lawrence River?/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Lab,Freshwater,Crustaceans;Molluscs;Fishes,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,predation/habitat provision/predation of a native competitor,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2009,Are interactions among Ponto-Caspian invaders driving amphipod species replacement in the St. Lawrence River?/Contribution 1,Are interactions among Ponto-Caspian invaders driving amphipod species replacement in the St. Lawrence River?
Experimental test of the impacts of feral hogs on forest dynamics and processes in the southeastern US/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Enclosure,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,habitat disturbance by one non native increases abundancy of another,Population,Abundance and or Density,2009,Experimental test of the impacts of feral hogs on forest dynamics and processes in the southeastern US/Contribution 1,Experimental test of the impacts of feral hogs on forest dynamics and processes in the southeastern US
Impact of alien plant invaders on pollination networks in two archipelagos/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,non native spp as important link for ohter non native,Individual,Resource,2009,Impact of alien plant invaders on pollination networks in two archipelagos/Contribution 1,Impact of alien plant invaders on pollination networks in two archipelagos
Gut passage effect of the introduced red-whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius/Contribution 1,Experimental,Africa,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Birds,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,gut passage had significant increase in seed germination,Individual,"Survival, Growth and or Reproduction",2009,Gut passage effect of the introduced red-whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius/Contribution 1,Gut passage effect of the introduced red-whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius
Tree leaf litter composition and nonnative earthworms influence plant invasion in experimental forest floor mosocosms/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Earthworm,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native litter + non native earthworms = increased other non native plant biomass,Population,Abundance and or Density,2009,Tree leaf litter composition and nonnative earthworms influence plant invasion in experimental forest floor mosocosms/Contribution 1,Tree leaf litter composition and nonnative earthworms influence plant invasion in experimental forest floor mosocosms
Removal of invasive shrubs reduces exotic earthworm populations/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Earthworm,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non native provides resource to another that increases in density and biomass,Population,Abundance and or Density,2009,Removal of invasive shrubs reduces exotic earthworm populations/Contribution 1,Removal of invasive shrubs reduces exotic earthworm populations
"Implications of beaver Castor canadensis and trout introductions on native fish in the Cape Horn biosphere reserve, Chile/Contribution 1",Observational,South America,Invasional meltdown,Questioned,Field,Freshwater,Fishes;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native moderates the impact of another on a native species,Population,Impact on native species,2009,"Implications of beaver Castor canadensis and trout introductions on native fish in the Cape Horn biosphere reserve, Chile/Contribution 1","Implications of beaver Castor canadensis and trout introductions on native fish in the Cape Horn biosphere reserve, Chile"
Exotic herbivores directly facilitate the exotic grasses they graze: mechanisms for na unexpected positive feedback between invaders/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Lab & Enclosure,Terrestrial,Plants;Molluscs,10,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"herbivory enables dispersal of exotic grass, increases abundance and in turn is the main food item of the herbivore",Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density/Dispersal of indivduals",2009,Exotic herbivores directly facilitate the exotic grasses they graze: mechanisms for na unexpected positive feedback between invaders/Contribution 1,Exotic herbivores directly facilitate the exotic grasses they graze: mechanisms for na unexpected positive feedback between invaders
Epiphytic macroinvertebrate communities on Eurasian watermilfoil (Myriophyllum spicatum) and native milfoils Myriophyllum sibericum and Myriophyllum alterniflorum in eastern North America/Contribution 1,Observational,North America,Invasional meltdown,Undecided,Field,Freshwater,Plants;Insects;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Abundance of exotic invertebrates are sometimes higher and sometimes lower in exotic milfoil,Population,Abundance and or Density,2009,Epiphytic macroinvertebrate communities on Eurasian watermilfoil (Myriophyllum spicatum) and native milfoils Myriophyllum sibericum and Myriophyllum alterniflorum in eastern North America/Contribution 1,Epiphytic macroinvertebrate communities on Eurasian watermilfoil (Myriophyllum spicatum) and native milfoils Myriophyllum sibericum and Myriophyllum alterniflorum in eastern North America
New mutualism for old: indirect disruption and direct facilitation of seed dispersal following Argentine ant invasion/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants;Insects,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native disperse more non native than native,Population,Dispersal,2009,New mutualism for old: indirect disruption and direct facilitation of seed dispersal following Argentine ant invasion/Contribution 1,New mutualism for old: indirect disruption and direct facilitation of seed dispersal following Argentine ant invasion
Role of invasive Melilotus officinalis in two native plant communities/Contribution 1,Experimental,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,positive assocation between a exotic species cover and other native and exotic cover,Population,Abundance and or Density,2009,Role of invasive Melilotus officinalis in two native plant communities/Contribution 1,Role of invasive Melilotus officinalis in two native plant communities
Positive interactions among plant species for pollinator service: assessing the 'magnet species' concept with invasive species/Contribution 1,Experimental & Observational,South America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher polinatin rates and seed output associated with another invasive,Individual,"Survival, Growth and or Reproduction",2008,Positive interactions among plant species for pollinator service: assessing the 'magnet species' concept with invasive species/Contribution 1,Positive interactions among plant species for pollinator service: assessing the 'magnet species' concept with invasive species
"Diet of American mink Mustela vison and its potential impact on the native fauna of Navarino Island, Cape Horn Biosphere, Chile/Contribution 1",Observational,South America,Invasional meltdown,Supported,Field,Terrestrial,Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,non native spp as important food source,Individual,Resource,2008,"Diet of American mink Mustela vison and its potential impact on the native fauna of Navarino Island, Cape Horn Biosphere, Chile/Contribution 1","Diet of American mink Mustela vison and its potential impact on the native fauna of Navarino Island, Cape Horn Biosphere, Chile"
The effect of herbivory on seedling survival of the invasive exotic species Pinus radiata and Eucalyptus globulus in a Mediterranean ecosystem of central Chile/Contribution 1,Experimental,South America,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,herbivory by exotic vertebrates negatively affect seedling survival of exotic trees,Individual,"Survival, Growth and or Reproduction",2008,The effect of herbivory on seedling survival of the invasive exotic species Pinus radiata and Eucalyptus globulus in a Mediterranean ecosystem of central Chile/Contribution 1,The effect of herbivory on seedling survival of the invasive exotic species Pinus radiata and Eucalyptus globulus in a Mediterranean ecosystem of central Chile
Biological invasion into the nested assemblage of tree-beetle associations on the oceanic Ogasawara Islands/Contribution 1,Experimental,Asia,Invasional meltdown,Supported,Field,Terrestrial,Plants,13,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,alien trees tend to be used more by alien cerambyd species than native,Individual,Resource,2008,Biological invasion into the nested assemblage of tree-beetle associations on the oceanic Ogasawara Islands/Contribution 1,Biological invasion into the nested assemblage of tree-beetle associations on the oceanic Ogasawara Islands
Exploitative competition between invasive herbivores benefits a native host plant/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competition between non natives weakened native plant damage,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density/Impact on individual",2008,Exploitative competition between invasive herbivores benefits a native host plant/Contribution 1,Exploitative competition between invasive herbivores benefits a native host plant
Effects of the invasive Barbary ground squirrel (Atlantoxerus getulus) on seed dispersal systems of insular xeric environments/Contribution 1,Experimental & Observational,Europe,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,exotic squirrel favours exotic plant germination and plant provides resource to the squirel,Individual,"Resource/ Survival, Growth and or Reproduction",2008,Effects of the invasive Barbary ground squirrel (Atlantoxerus getulus) on seed dispersal systems of insular xeric environments/Contribution 1,Effects of the invasive Barbary ground squirrel (Atlantoxerus getulus) on seed dispersal systems of insular xeric environments
"Enemy release or invasional meltdown? Deer preference for exotic and native trees on Isla Victoria, Argentina/Contribution 1",Experimental,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,browsig preference on native releasing non native plants of competitors,Individual,Resource,2008,"Enemy release or invasional meltdown? Deer preference for exotic and native trees on Isla Victoria, Argentina/Contribution 1","Enemy release or invasional meltdown? Deer preference for exotic and native trees on Isla Victoria, Argentina"
Plant resources and colony growth in na invasive ant: the importance of honeydew-producing hemiptera in Carbohydrate transfer across trophic levels/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Lab,Terrestrial,Plants;Insects,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Colony of invasive ant grew more when in association with invasive honeydew producing hemipterans and invasive plant,Population,Abundance and or Density,2008,Plant resources and colony growth in na invasive ant: the importance of honeydew-producing hemiptera in Carbohydrate transfer across trophic levels/Contribution 1,Plant resources and colony growth in na invasive ant: the importance of honeydew-producing hemiptera in Carbohydrate transfer across trophic levels
"Canopy effects of the invasive shrub Pyracantha angustifolia on seed bank composition, richness and density in a montane shrubland (Cordoba, Argentina)/Contribution 1",Observational,South America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,one non native increase density under canopy of another/exotic species richness was lower under canopy of another exotic,Population/Community,Abundance and or Density/Richness,2008,"Canopy effects of the invasive shrub Pyracantha angustifolia on seed bank composition, richness and density in a montane shrubland (Cordoba, Argentina)/Contribution 1","Canopy effects of the invasive shrub Pyracantha angustifolia on seed bank composition, richness and density in a montane shrubland (Cordoba, Argentina)"
The role of exotic plants in the invasion of Seychelles by the polyphagus insect Aleurodicus dispersus: a phylogenetic controlled analysis/Contribution 1,Experimental,Africa,Invasional meltdown,Supported,Field,Terrestrial,Insects,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,exotic host plants are prefered over natives,Population,Abundance and or Density,2008,The role of exotic plants in the invasion of Seychelles by the polyphagus insect Aleurodicus dispersus: a phylogenetic controlled analysis/Contribution 1,The role of exotic plants in the invasion of Seychelles by the polyphagus insect Aleurodicus dispersus: a phylogenetic controlled analysis
Range expansion and population dynamics of co-occuring invasive herbivores/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native weakens the host -plant of another,Population,Abundance and or Density,2008,Range expansion and population dynamics of co-occuring invasive herbivores/Contribution 1,Range expansion and population dynamics of co-occuring invasive herbivores
Non-native habitat as home for non-native species: comparison of communities associated with invasive tubeworm and native oyster reefs/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Marine,Tubeworm,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,several probable types,Population,Abundance and or Density,2008,Non-native habitat as home for non-native species: comparison of communities associated with invasive tubeworm and native oyster reefs/Contribution 1,Non-native habitat as home for non-native species: comparison of communities associated with invasive tubeworm and native oyster reefs
Inhibition between invasives: a newly introduced predator moderates the impacts of a previously established invasive predator/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Questioned,Lab & Field,Marine,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,density patterns show negative interactions and growth is reduced when coexisting,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2008,Inhibition between invasives: a newly introduced predator moderates the impacts of a previously established invasive predator/Contribution 1,Inhibition between invasives: a newly introduced predator moderates the impacts of a previously established invasive predator
"Preferences of invasive Ponto-Caspian and native European gammarids for zebra mussel (Dreissena polymorpha, Bivalvia) shell habitat/Contribution 1",Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Crustaceans;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,one non native prefers non native habitat,Individual,Resource,2007,"Preferences of invasive Ponto-Caspian and native European gammarids for zebra mussel (Dreissena polymorpha, Bivalvia) shell habitat/Contribution 1","Preferences of invasive Ponto-Caspian and native European gammarids for zebra mussel (Dreissena polymorpha, Bivalvia) shell habitat"
