index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of resistance/susceptibility,Measure of native biodiversity,Study date,same as,study,publication
"Exotic plants on Lord Howe Island: distribution in space and time, 1853-1981/Contribution 1",Observational or correlational,Oceania,Biotic resistence,Questioned,Field,Terrestrial,Plants,173,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1984,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Exotic plants on Lord Howe Island: distribution in space and time, 1853-1981/Contribution 1","Exotic plants on Lord Howe Island: distribution in space and time, 1853-1981"
Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 3,Experimental,Oceania,Biotic resistence,Questioned,Field,Marine,Other invertebrates,19,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 3,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities
Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 4,Experimental,Oceania,Biotic resistence,Supported,Field,Marine,Other invertebrates,19,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 4,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities
Biotic acceptance in introduced amphibians and reptiles in Europe and North America/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Biotic resistence,Questioned,Field,Terrestrial,Amphibians;Reptiles,,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Biotic acceptance in introduced amphibians and reptiles in Europe and North America/Contribution 1,Biotic acceptance in introduced amphibians and reptiles in Europe and North America
Plant functional group diversity as a mechanism for invasion resistance/Contribution 2,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant functional group diversity as a mechanism for invasion resistance/Contribution 2,Plant functional group diversity as a mechanism for invasion resistance
Mechanisms of resistance of Mediterranean annual communities to invasion by Conyza bonariensis: effects of native functional composition/Contribution 1,Experimental,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native functional groups,2002,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Mechanisms of resistance of Mediterranean annual communities to invasion by Conyza bonariensis: effects of native functional composition/Contribution 1,Mechanisms of resistance of Mediterranean annual communities to invasion by Conyza bonariensis: effects of native functional composition
Plant community diversity and invasibility by exotics: invasion of Mediterranean old fields by Conyza bonariensis and Conyza canadensis/Contribution 1,Experimental,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,2,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2000,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Plant community diversity and invasibility by exotics: invasion of Mediterranean old fields by Conyza bonariensis and Conyza canadensis/Contribution 1,Plant community diversity and invasibility by exotics: invasion of Mediterranean old fields by Conyza bonariensis and Conyza canadensis
"Plant diversity, herbivory and resistance of a plant community to invasion in Mediterranean annual communities/Contribution 1",Experimental,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,2,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native species,2002,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Plant diversity, herbivory and resistance of a plant community to invasion in Mediterranean annual communities/Contribution 1","Plant diversity, herbivory and resistance of a plant community to invasion in Mediterranean annual communities"
Patterns of invasion in temperate nature reserves/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,322,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Patterns of invasion in temperate nature reserves/Contribution 1,Patterns of invasion in temperate nature reserves
Invasion by Heracleum mantegazzianum in different habitats in the Czech Republic/Contribution 1,Observational or correlational,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,1995,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Invasion by Heracleum mantegazzianum in different habitats in the Czech Republic/Contribution 1,Invasion by Heracleum mantegazzianum in different habitats in the Czech Republic
"Assessing the importance of disturbance, site conditions, and the biotic barrier for dandelion invasion in an Alpine habitat/Contribution 1",Experimental,South-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2011,,"Assessing the importance of disturbance, site conditions, and the biotic barrier for dandelion invasion in an Alpine habitat/Contribution 1","Assessing the importance of disturbance, site conditions, and the biotic barrier for dandelion invasion in an Alpine habitat"
Biotic and abiotic constraints to a plant invasion in vegetation communities of Tierra del Fuego/Contribution 1,Observational or correlational,South-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2013,,Biotic and abiotic constraints to a plant invasion in vegetation communities of Tierra del Fuego/Contribution 1,Biotic and abiotic constraints to a plant invasion in vegetation communities of Tierra del Fuego
"Shifts in grassland invasibility: effects of soil resources, disturbance, composition, and invader size/Contribution 1",Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Recruitment of exotic individuals,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Shifts in grassland invasibility: effects of soil resources, disturbance, composition, and invader size/Contribution 1","Shifts in grassland invasibility: effects of soil resources, disturbance, composition, and invader size"
Grassland invader responses to realistic changes in native species richness/Contribution 2,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Grassland invader responses to realistic changes in native species richness/Contribution 2,Grassland invader responses to realistic changes in native species richness
Ecological resistance to Acer negundo invasion in a European riparian forest: relative importance of environmental and biotic drivers/Contribution 1,Experimental,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native functional groups,2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Ecological resistance to Acer negundo invasion in a European riparian forest: relative importance of environmental and biotic drivers/Contribution 1,Ecological resistance to Acer negundo invasion in a European riparian forest: relative importance of environmental and biotic drivers
Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,28,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile/Contribution 1,Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile
Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile/Contribution 2,Observational or correlational,South-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,75,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2002,,Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile/Contribution 2,Native and naturalized plant diversity are positively correlated in scrub communities of California and Chile
Realistic plant species losses reduce invasion resistance in a California serpentine grassland/Contribution 1,Experimental,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,16,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Realistic plant species losses reduce invasion resistance in a California serpentine grassland/Contribution 1,Realistic plant species losses reduce invasion resistance in a California serpentine grassland
"Exotic species in a C4-dominated grassland: invasibility, disturbance, and community structure/Contribution 1",Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,22,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1999,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Exotic species in a C4-dominated grassland: invasibility, disturbance, and community structure/Contribution 1","Exotic species in a C4-dominated grassland: invasibility, disturbance, and community structure"
Dominance not richness determines invasibility of tallgrass prairie/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Dominance not richness determines invasibility of tallgrass prairie/Contribution 1,Dominance not richness determines invasibility of tallgrass prairie
"Productivity, herbivory, and species traits rather than diversity influence invasibility of experimental phytoplankton communities/Contribution 1",Experimental,Europe,Biotic resistence,Undecided,Lab,Freshwater,Algae,12,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Productivity, herbivory, and species traits rather than diversity influence invasibility of experimental phytoplankton communities/Contribution 1","Productivity, herbivory, and species traits rather than diversity influence invasibility of experimental phytoplankton communities"
Species diversity and invasion resistance in a marine ecosystem/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Marine,Other invertebrates,1,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native species,1999,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species diversity and invasion resistance in a marine ecosystem/Contribution 1,Species diversity and invasion resistance in a marine ecosystem
"Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process/Contribution 1",Observational or correlational,North-America,Biotic resistence,Supported,Field,Marine,Other invertebrates,5,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process/Contribution 1","Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process"
"Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process/Contribution 2",Experimental,North-America,Biotic resistence,Supported,Field,Marine,Other invertebrates,2,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2002,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process/Contribution 2","Biodiversity, invasion resistance, and marine ecosystem function: Reconciling pattern and process"
A null model of exotic plant diversity tested with exotic and native species-area relationships/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A null model of exotic plant diversity tested with exotic and native species-area relationships/Contribution 1,A null model of exotic plant diversity tested with exotic and native species-area relationships
"Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 1",Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,2770,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 1","Species richness and patterns of invasion in plants, birds, and fishes in the United States"
"Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 2",Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Fishes,672,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 2","Species richness and patterns of invasion in plants, birds, and fishes in the United States"
"Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 3",Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Birds,107,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Species richness and patterns of invasion in plants, birds, and fishes in the United States/Contribution 3","Species richness and patterns of invasion in plants, birds, and fishes in the United States"
Plant species invasions along the latitudinal gradient in the United States/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,3726,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant species invasions along the latitudinal gradient in the United States/Contribution 1,Plant species invasions along the latitudinal gradient in the United States
Exotic plant species invade hot spots of native plant diversity/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,20,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1999,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Exotic plant species invade hot spots of native plant diversity/Contribution 1,Exotic plant species invade hot spots of native plant diversity
Scale and plant invasions: a theory of biotic acceptance/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Scale and plant invasions: a theory of biotic acceptance/Contribution 1,Scale and plant invasions: a theory of biotic acceptance
The myth of plant species saturation/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,3363,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The myth of plant species saturation/Contribution 1,The myth of plant species saturation
The rich get richer: patterns of plant invasions in the United States/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The rich get richer: patterns of plant invasions in the United States/Contribution 1,The rich get richer: patterns of plant invasions in the United States
Diversity-invasibility relationships across multiple scales in disturbed forest understoreys/Contribution 2,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,161,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Diversity-invasibility relationships across multiple scales in disturbed forest understoreys/Contribution 2,Diversity-invasibility relationships across multiple scales in disturbed forest understoreys
Can biotic resistance be utilized to reduce establishment rates of non-indigenous species in constructed waters?/Contribution 1,Experimental,,Biotic resistence,Supported,Enclosure,Freshwater,Other invertebrates,15,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2012,,Can biotic resistance be utilized to reduce establishment rates of non-indigenous species in constructed waters?/Contribution 1,Can biotic resistance be utilized to reduce establishment rates of non-indigenous species in constructed waters?
Continental rain forest fragments in Singapore resist invasion by exotic plants/Contribution 1,Observational or correlational,Asia,Biotic resistence,Questioned,Field,Terrestrial,Plants,144,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2000,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Continental rain forest fragments in Singapore resist invasion by exotic plants/Contribution 1,Continental rain forest fragments in Singapore resist invasion by exotic plants
Temporal trends and effects of diversity on occurrence of exotic macrophytes in a large reservoir/Contribution 1,Experimental,South-America,Biotic resistence,Undecided,Field,Freshwater,Plants,2,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2009,,Temporal trends and effects of diversity on occurrence of exotic macrophytes in a large reservoir/Contribution 1,Temporal trends and effects of diversity on occurrence of exotic macrophytes in a large reservoir
Weed numbers in New Zealand's forest and scrub reserves/Contribution 1,Observational or correlational,Oceania,Biotic resistence,Questioned,Field,Terrestrial,Plants,75,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1991,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Weed numbers in New Zealand's forest and scrub reserves/Contribution 1,Weed numbers in New Zealand's forest and scrub reserves
Biotic resistance to invader establishment of a southern Appalachian plant community is determined by environmental conditions/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,10,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Biotic resistance to invader establishment of a southern Appalachian plant community is determined by environmental conditions/Contribution 1,Biotic resistance to invader establishment of a southern Appalachian plant community is determined by environmental conditions
ECOLOGICAL RESISTANCE TO BIOLOGICAL INVASION OVERWHELMED BY PROPAGULE PRESSURE/Contribution 3,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,10,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",ECOLOGICAL RESISTANCE TO BIOLOGICAL INVASION OVERWHELMED BY PROPAGULE PRESSURE/Contribution 3,ECOLOGICAL RESISTANCE TO BIOLOGICAL INVASION OVERWHELMED BY PROPAGULE PRESSURE
Plant richness patterns in agricultural and urban landscapes in Central Germany - spatial gradients of species richness/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,250,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Plant richness patterns in agricultural and urban landscapes in Central Germany - spatial gradients of species richness/Contribution 1,Plant richness patterns in agricultural and urban landscapes in Central Germany - spatial gradients of species richness
The link between international trade and the global distribution of invasive alien species/Contribution 1,Observational or correlational,All continents,Biotic resistence,Questioned,Field,Terrestrial and freshwater and marine,Plants;Insect;Molluscs;Fishes;Amphibians;Reptiles;Birds;Mammals,336,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,,The link between international trade and the global distribution of invasive alien species/Contribution 1,The link between international trade and the global distribution of invasive alien species
Diversity effects on invasion vary with life history stage in marine macroalgae/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Marine,Algae,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Diversity effects on invasion vary with life history stage in marine macroalgae/Contribution 1,Diversity effects on invasion vary with life history stage in marine macroalgae
Diversity effects on invasion vary with life history stage in marine macroalgae/Contribution 2,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Marine,Algae,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Diversity effects on invasion vary with life history stage in marine macroalgae/Contribution 2,Diversity effects on invasion vary with life history stage in marine macroalgae
The role of diversity and functional traits of species in community invasibility/Contribution 2,Experimental,Asia,Biotic resistence,Undecided,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",The role of diversity and functional traits of species in community invasibility/Contribution 2,The role of diversity and functional traits of species in community invasibility
Predator-driven biotic resistance and propagule pressure regulate the invasive apple snail Pomacea canaliculata in Japan/Contribution 1,Observational or correlational,Asia,Biotic resistence,Supported,Field,Freshwater,Molluscs;Fishes,8,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2012,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Predator-driven biotic resistance and propagule pressure regulate the invasive apple snail Pomacea canaliculata in Japan/Contribution 1,Predator-driven biotic resistance and propagule pressure regulate the invasive apple snail Pomacea canaliculata in Japan
"Realistic variation in species composition affects grassland production, resource use and invasion resistance/Contribution 1",Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Realistic variation in species composition affects grassland production, resource use and invasion resistance/Contribution 1","Realistic variation in species composition affects grassland production, resource use and invasion resistance"
Realistic species losses disproportionately reduce grassland resistance to biological invaders/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Realistic species losses disproportionately reduce grassland resistance to biological invaders/Contribution 1,Realistic species losses disproportionately reduce grassland resistance to biological invaders
Positive diversity-invasibility relationship in species-rich semi-natural grassland at the neighbourhood scale/Contribution 1,Experimental,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,56,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Positive diversity-invasibility relationship in species-rich semi-natural grassland at the neighbourhood scale/Contribution 1,Positive diversity-invasibility relationship in species-rich semi-natural grassland at the neighbourhood scale
Does fluctuating resource availability increase invasibility? Evidence from field experiments in New Zealand short tussock grassland/Contribution 1,Experimental,Oceania,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Growth of exotic individuals,Number of native species,2005,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Does fluctuating resource availability increase invasibility? Evidence from field experiments in New Zealand short tussock grassland/Contribution 1,Does fluctuating resource availability increase invasibility? Evidence from field experiments in New Zealand short tussock grassland
