index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of disturbance,Type of disturbance,Direct anthropogenic dist.?,Study date,study,publication
Effects of Microstegium Vimineum (Trin.) A. Camus on native woody species density and diversity in a productive mixed-hardwood forest in Tennessee/Contribution 1,Experimental,North America,Biomass of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,Three canopy disturbance treatments (gradient from the most severe disturbance (complete canopy removal) to least severe or no disturbance (undisturbed control)),Management methods,Yes,2007,Effects of Microstegium Vimineum (Trin.) A. Camus on native woody species density and diversity in a productive mixed-hardwood forest in Tennessee/Contribution 1,Effects of Microstegium Vimineum (Trin.) A. Camus on native woody species density and diversity in a productive mixed-hardwood forest in Tennessee
Exotic cheatgrass and loss of soil biota decrease the performance of a native grass/Contribution 1,Experimental,North America,Cover of exotic species ,Disturbance,Supported,Lab,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"Soil disturbances  - soil collected from pile burn, mastication treatments and undisturbed areas ",Fire,No,2013,Exotic cheatgrass and loss of soil biota decrease the performance of a native grass/Contribution 1,Exotic cheatgrass and loss of soil biota decrease the performance of a native grass
Six years of plant community development after clearcut harvesting in western Washington/Contribution 1,Experimental,North America,Number of exotic species,Disturbance,Undecided,Field,Terrestrial,Plants,19,Testing the disturbance hypothesis in invasion biology,1) removal of tree boles + 1 herbicide applications of vegetation control 2) removal of total tree + removal other woody material using a shovel + 5 herbicide app. + removal of tree boles to 10 cm top (no vegetations control),Management methods,Yes,2009,Six years of plant community development after clearcut harvesting in western Washington/Contribution 1,Six years of plant community development after clearcut harvesting in western Washington
Six years of plant community development after clearcut harvesting in western Washington/Contribution 2,Experimental,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,19,Testing the disturbance hypothesis in invasion biology,1) removal of tree boles + herbicide applications of vegetation control 2) removal of total tree + removal other woody material using a shovel + 5 herbicide app. + removal of tree boles to 10 cm top (no vegetations control),Management methods,Yes,2009,Six years of plant community development after clearcut harvesting in western Washington/Contribution 2,Six years of plant community development after clearcut harvesting in western Washington
Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina/Contribution 1,Experimental,South America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,6,Testing the disturbance hypothesis in invasion biology,"soil disturbance, above-ground biomass removal by cutting and burning",Others,Yes,2002,Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina/Contribution 1,Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina
Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina/Contribution 2,Experimental,South America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,6,Testing the disturbance hypothesis in invasion biology,"soil disturbance, above-ground biomass removal by cutting and burning",Others,Yes,2002,Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina/Contribution 2,Are invaders disturbance-limited? Conservation of mountain grasslands in Central Argentina
Differential tolerance to metals among populations of the introduced bryozoan Bugula neritina/Contribution 1,Experimental,Oceania,Survival of exotic individuals,Disturbance,Questioned,Lab,Marine,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,"copper solutions of 25, 50, and 100 ug",Urbanization,Yes,2006,Differential tolerance to metals among populations of the introduced bryozoan Bugula neritina/Contribution 1,Differential tolerance to metals among populations of the introduced bryozoan Bugula neritina
Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 1,Experimental,Oceania,Number of exotic species,Disturbance,Questioned,Field,Marine,Other invertebrates,19,Testing the disturbance hypothesis in invasion biology,effect by heavy metal pollution of two harbours,Urbanization,Yes,2008,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 1,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities
Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 2,Experimental,Oceania,Cover of exotic species,Disturbance,Supported,Field,Marine,Other invertebrates,19,Testing the disturbance hypothesis in invasion biology,effect by heavy metal pollution of two harbours,Urbanization,Yes,2008,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities/Contribution 2,Pollution reduces native diversity and increases invader dominance in marine hard-substrate communities
Conservation of the Grassy White Box Woodlands: Relative Contributions of Size and Disturbance to Floristic Composition and Diversity of Remnants/Contribution 1,Observational or correlational,Oceania,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,36,Testing the disturbance hypothesis in invasion biology,grazing gradient,Economic land use,Yes,1995,Conservation of the Grassy White Box Woodlands: Relative Contributions of Size and Disturbance to Floristic Composition and Diversity of Remnants/Contribution 1,Conservation of the Grassy White Box Woodlands: Relative Contributions of Size and Disturbance to Floristic Composition and Diversity of Remnants
EFFECTS OF DISTURBANCE ON HERBACEOUS EXOTIC PLANT-SPECIES ON THE FLOODPLAIN OF THE POTOMAC RIVER/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,11,Testing the disturbance hypothesis in invasion biology,distace from the river ,Flood,No,1995,EFFECTS OF DISTURBANCE ON HERBACEOUS EXOTIC PLANT-SPECIES ON THE FLOODPLAIN OF THE POTOMAC RIVER/Contribution 1,EFFECTS OF DISTURBANCE ON HERBACEOUS EXOTIC PLANT-SPECIES ON THE FLOODPLAIN OF THE POTOMAC RIVER
INVASION BY HERACLEUM-MANTEGAZZIANUM IN DIFFERENT HABITATS IN THE CZECH-REPUBLIC/Contribution 1,Observational or correlational,Europe,Occurrence of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"mowing, grazing and urban sites",Others,Yes,1995,INVASION BY HERACLEUM-MANTEGAZZIANUM IN DIFFERENT HABITATS IN THE CZECH-REPUBLIC/Contribution 1,INVASION BY HERACLEUM-MANTEGAZZIANUM IN DIFFERENT HABITATS IN THE CZECH-REPUBLIC
Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand/Contribution 1,Experimental,Oceania,Biomass of exotic species,Disturbance,Undecided ,Field,Terrestrial,Plants,4,Testing the disturbance hypothesis in invasion biology,Clipping all vegetation to 1 cm height (weekly) - to simulate the effects of non-selective grazing ,Economic land use,Yes,2007,Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand/Contribution 1,Functional and performance comparisons of invasive Hieracium lepidulum and co-occurring species in New Zealand
Mammals of the northern Philippines: tolerance for habitat disturbance and resistance to invasive species in an endemic insular fauna/Contribution 1,Observational or correlational,Asia,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Mammals,2,Testing the disturbance hypothesis in invasion biology,"4 gradients of anthropogenic habitat disturbance - form mature forest, severely degraded  to deforested cropland  (deforestation)",Economic land use,Yes,2011,Mammals of the northern Philippines: tolerance for habitat disturbance and resistance to invasive species in an endemic insular fauna/Contribution 1,Mammals of the northern Philippines: tolerance for habitat disturbance and resistance to invasive species in an endemic insular fauna
"Relationship between fragmentation, degradation and native and exotic species richness in an Andean temperate forest of Chile/Contribution 1",Observational or correlational,South America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology,"forest fragmentation and human degradation (logging, fire, cattle faeces) -Based on these variables -> fragmentation and a degradation index",Economic land use,Yes,2011,"Relationship between fragmentation, degradation and native and exotic species richness in an Andean temperate forest of Chile/Contribution 1","Relationship between fragmentation, degradation and native and exotic species richness in an Andean temperate forest of Chile"
Herbaceous layer contrast and alien plant occurrence in utility corridors and riparian forests of the Allegheny High Plateau/Contribution 1,Observational or correlational,North America,Cover of exotic species ,Disturbance,Supported,Field,Terrestrial,Plants,23,Testing the disturbance hypothesis in invasion biology,Electric and petroleum utility corridors ->  by  in-tersection of utility corridors with streams on US. Geological S. maps (Randomized block analysis of variance (ANOVA)),Urbanization ,Yes,2002,Herbaceous layer contrast and alien plant occurrence in utility corridors and riparian forests of the Allegheny High Plateau/Contribution 1,Herbaceous layer contrast and alien plant occurrence in utility corridors and riparian forests of the Allegheny High Plateau
"Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland/Contribution 1",Experimental,South America,Number of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,9,Testing the disturbance hypothesis in invasion biology,"grazing by domestic herbivores (cattle, occasionally horses)",Economic land use,Yes,1997,"Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland/Contribution 1","Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland"
"Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland/Contribution 2",Experimental,South America,Cover of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,9,Testing the disturbance hypothesis in invasion biology,"grazing by domestic herbivores (cattle, occasionally horses)",Economic land use,Yes,1997,"Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland/Contribution 2","Relationship between productivity, and species and functional group diversity in grazed and non-grazed Pampas grassland"
Fire effects on plant diversity in serpentine vs. sandstone chaparral/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,33,Testing the disturbance hypothesis in invasion biology,burned and unburned sites,Fire,No,2004,Fire effects on plant diversity in serpentine vs. sandstone chaparral/Contribution 1,Fire effects on plant diversity in serpentine vs. sandstone chaparral
Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 1,Experimental,Europe,Abundance/density of exotic species,Disturbance,Supported,Enclosure,Freshwater,Algae,1,Testing the disturbance hypothesis in invasion biology," nutrient treatment level (high, medium, control) --> Concentrations of NO3–, NO2–, NH4+ and PO43– ",Economic land use,Yes,2006,Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 1,Resource availability and invasibility in an intertidal macroalgal assemblage
Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 2,Experimental,Europe,Growth/emergence of exotic individuals,Disturbance,Supported,Enclosure,Freshwater,Algae,1,Testing the disturbance hypothesis in invasion biology," nutrient treatment level (high, medium, control) --> Concentrations of NO3–, NO2–, NH4+ and PO43– ",Economic land use,Yes,2006,Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 2,Resource availability and invasibility in an intertidal macroalgal assemblage
Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 3,Experimental,Europe,Cover of exotic species,Disturbance,Supported,Enclosure,Freshwater,Algae,1,Testing the disturbance hypothesis in invasion biology," nutrient treatment level (high, medium, control) --> Concentrations of NO3–, NO2–, NH4+ and PO43– ",Economic land use,Yes,2006,Resource availability and invasibility in an intertidal macroalgal assemblage/Contribution 3,Resource availability and invasibility in an intertidal macroalgal assemblage
Invasion of natural and agricultural cranberry bogs by introduced and native plants/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,"active agricultural bogs, abandoned agricultural bogs, natural bogs ",Economic land use ,Yes,2007,Invasion of natural and agricultural cranberry bogs by introduced and native plants/Contribution 1,Invasion of natural and agricultural cranberry bogs by introduced and native plants
Invasion of natural and agricultural cranberry bogs by introduced and native plants/Contribution 2,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,"active agricultural bogs, abandoned agricultural bogs, natural bogs ",Economic land use ,Yes,2007,Invasion of natural and agricultural cranberry bogs by introduced and native plants/Contribution 2,Invasion of natural and agricultural cranberry bogs by introduced and native plants
"Assessing bird assemblages along an urban gradient in a Caribbean island (Margarita, Venezuela)/Contribution 1",Observational or correlational,South America,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Birds,1,Testing the disturbance hypothesis in invasion biology,Bebauungs- und Vegetationsdichte,Urbanization ,Yes,2015,"Assessing bird assemblages along an urban gradient in a Caribbean island (Margarita, Venezuela)/Contribution 1","Assessing bird assemblages along an urban gradient in a Caribbean island (Margarita, Venezuela)"
Recent Invasion of the Symbiont-Bearing Foraminifera Pararotalia into the Eastern Mediterranean Facilitated by the Ongoing Warming Trend/Contribution 1,Experimental,Europe,Growth/emergence of exotic individuals,Disturbance,Supported,Lab,Marine,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,"Temperaturänderung (20°C, 28°C and 35°C)",Global warming ,No,2015,Recent Invasion of the Symbiont-Bearing Foraminifera Pararotalia into the Eastern Mediterranean Facilitated by the Ongoing Warming Trend/Contribution 1,Recent Invasion of the Symbiont-Bearing Foraminifera Pararotalia into the Eastern Mediterranean Facilitated by the Ongoing Warming Trend
"Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality/Contribution 1",Observational or correlational,Oceania,Abundance/density of exotic species,Disturbance,Undecided,Field,Freshwater,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,"land uses in the catchment, in the forms of grazing, tilling, forestry (Supported) + forestry indicates (timber production) (Ques.)",Economic land use,Yes,2003,"Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality/Contribution 1","Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality"
"Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality/Contribution 2",Observational or correlational,Oceania,Abundance/density of exotic species,Disturbance,Supported,Field,Freshwater,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,anthropogenic developments (e.g. towns and dams),Urbanization,Yes,2003,"Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality/Contribution 2","Distribution of an alien aquatic snail in relation to flow variability, human activities and water quality"
"Invasion, competitive dominance, and resource use by exotic and native California grassland species/Contribution 1",Experimental,North America,Biomass of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,3,Testing the disturbance hypothesis in invasion biology,mowing,Management methods,Yes,2003,"Invasion, competitive dominance, and resource use by exotic and native California grassland species/Contribution 1","Invasion, competitive dominance, and resource use by exotic and native California grassland species"
Pre-fire fuel reduction treatments influence plant communities and exotic species 9 years after a large wildfire/Contribution 1,Observational or correlational,North America,Cover of exotic species ,Disturbance,Questioned,Field,Terrestrial,Plants,39,Testing the disturbance hypothesis in invasion biology,effects of pre-fire treatment on ?re severity and post-fire forest structure ,Fire,No,2013,Pre-fire fuel reduction treatments influence plant communities and exotic species 9 years after a large wildfire/Contribution 1,Pre-fire fuel reduction treatments influence plant communities and exotic species 9 years after a large wildfire
Shoreline development drives invasion of Phragmites australis and the loss of plant diversity on New England salt marshes/Contribution 1,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,shoreline development,Others,Yes,2004,Shoreline development drives invasion of Phragmites australis and the loss of plant diversity on New England salt marshes/Contribution 1,Shoreline development drives invasion of Phragmites australis and the loss of plant diversity on New England salt marshes
Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands/Contribution 1,Experimental,Europe,Number of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,3,Testing the disturbance hypothesis in invasion biology,locally gusting to 160 kph - changes in woody basal area and soil pH,Storm,No,2014,Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands/Contribution 1,Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands
"Exotic plant species in a C4-dominated grassland: invasibility, disturbance, and community structure/Contribution 1",Experimental,North America,Abundance/density of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,18,Testing the disturbance hypothesis in invasion biology,fire frequency in history,Fire,No,1999,"Exotic plant species in a C4-dominated grassland: invasibility, disturbance, and community structure/Contribution 1","Exotic plant species in a C4-dominated grassland: invasibility, disturbance, and community structure"
The paradox of invasion in birds: competitive superiority or ecological opportunism?/Contribution 1,Observational or correlational,Oceania,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Birds,5,Testing the disturbance hypothesis in invasion biology,"gradients of urbanization from the downtown city core to relatively undisturbed wildland areas: (1) urban habitat, (2) suburbs, (3) wildland",Urbanization,Yes,2012,The paradox of invasion in birds: competitive superiority or ecological opportunism?/Contribution 1,The paradox of invasion in birds: competitive superiority or ecological opportunism?
Growth patterns of the alien perennial Bunias orientalis L (Brassicaceae) underlying its rising dominance in some native plant assemblages/Contribution 1,Experimental,Europe,Biomass of exotic species,Disturbance,Undecided,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"frequency of mowing (high, medium, low)",Others,Yes,1996,Growth patterns of the alien perennial Bunias orientalis L (Brassicaceae) underlying its rising dominance in some native plant assemblages/Contribution 1,Growth patterns of the alien perennial Bunias orientalis L (Brassicaceae) underlying its rising dominance in some native plant assemblages
How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands/Contribution 1,Experimental,North America,Number of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology, grazing or cessation of grazing (cattle) (introduced by humans),Economic land use,Yes,1999,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands/Contribution 1,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands
How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands/Contribution 2,Experimental,North America,Cover of exotic species,Disturbance,Questioned,Enclosure,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology, grazing or cessation of grazing (cattle),Economic land use,Yes,1999,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands/Contribution 2,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands
Altered stream-flow regimes and invasive plant species: the Tamarix case/Contribution 1,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,"anthropogenic alteration of stream-flow regimes (presence or absence of an upstream flow-regulating dam, and presence or absence of municipal effluent as a stream water source)",Others,Yes,2007,Altered stream-flow regimes and invasive plant species: the Tamarix case/Contribution 1,Altered stream-flow regimes and invasive plant species: the Tamarix case
Lack of native species recovery following severe exotic disturbance in southern Californian shrublands/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,"construction, heavy-vehicle activity (military tanks)",Others,Yes,1999,Lack of native species recovery following severe exotic disturbance in southern Californian shrublands/Contribution 1,Lack of native species recovery following severe exotic disturbance in southern Californian shrublands
Lack of native species recovery following severe exotic disturbance in southern Californian shrublands/Contribution 2,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,"landfill operations, soil excavation and tillage",Economic land use,Yes,1999,Lack of native species recovery following severe exotic disturbance in southern Californian shrublands/Contribution 2,Lack of native species recovery following severe exotic disturbance in southern Californian shrublands
Effects of fragmentation and invasion on native ant communities in coastal southern California/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Insects,1,Testing the disturbance hypothesis in invasion biology,"habitat fragmentation, distance to urban edge",Urbanization,Yes,1998,Effects of fragmentation and invasion on native ant communities in coastal southern California/Contribution 1,Effects of fragmentation and invasion on native ant communities in coastal southern California
Effects of fragmentation and invasion on native ant communities in coastal southern California/Contribution 2,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,distance to urban edge,Urbanization,Yes,1998,Effects of fragmentation and invasion on native ant communities in coastal southern California/Contribution 2,Effects of fragmentation and invasion on native ant communities in coastal southern California
"Topographic alterations, forest structure, and invasion by English ivy (Hedera helix L.) in the Rock Creek floodplain, Washington, DC/Contribution 1",Observational or correlational,North America,Growth/emergence of exotic individuals,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,spoil ridge that resulted from construction of a sewer line,Others,Yes,1998,"Topographic alterations, forest structure, and invasion by English ivy (Hedera helix L.) in the Rock Creek floodplain, Washington, DC/Contribution 1","Topographic alterations, forest structure, and invasion by English ivy (Hedera helix L.) in the Rock Creek floodplain, Washington, DC"
"Alien Flora in Grasslands Adjacent to Road and Trail Corridors in Glacier National Park, Montana (U.S.A.)/Contribution 1",Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,15,Testing the disturbance hypothesis in invasion biology,"primary roads, secondary roads, and backcountry trails - Parallel transects, placed at varying distances from the adjacent road or trail",Urbanization,Yes,1992,"Alien Flora in Grasslands Adjacent to Road and Trail Corridors in Glacier National Park, Montana (U.S.A.)/Contribution 1","Alien Flora in Grasslands Adjacent to Road and Trail Corridors in Glacier National Park, Montana (U.S.A.)"
Lateral differentiation and the role of exotic species in roadside vegetation in southern New Zealand/Contribution 1,Observational or correlational,Oceania,Occurrence of exotic species ,Disturbance,Undecided,Field,Terrestrial,Plants,131,Testing the disturbance hypothesis in invasion biology,outer and inner roadside,Urbanization,Yes,1998,Lateral differentiation and the role of exotic species in roadside vegetation in southern New Zealand/Contribution 1,Lateral differentiation and the role of exotic species in roadside vegetation in southern New Zealand
Small mammals in a mosaic of forest remnants and anthropogenic habitats—evaluating matrix quality in an Atlantic forest landscape/Contribution 1,Observational or correlational,South America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Mammals,3,Testing the disturbance hypothesis in invasion biology,six types of habitats-impacts of anthropogenic habitats and of forest regeneration and fragmentation ,Economic land use,Yes,2007,Small mammals in a mosaic of forest remnants and anthropogenic habitats—evaluating matrix quality in an Atlantic forest landscape/Contribution 1,Small mammals in a mosaic of forest remnants and anthropogenic habitats—evaluating matrix quality in an Atlantic forest landscape
Roads Alter the Colonization Dynamics of a Keystone Herbivore in Neotropical Savannas/Contribution 1,Observational or correlational,South America,Colonization success,Disturbance,Supported,Field,Terrestrial,Insects,1,Testing the disturbance hypothesis in invasion biology,compare: dirt roads and the adjacent vegetation ,Urbanization,Yes,2006,Roads Alter the Colonization Dynamics of a Keystone Herbivore in Neotropical Savannas/Contribution 1,Roads Alter the Colonization Dynamics of a Keystone Herbivore in Neotropical Savannas
"Case studies of the expansion of Acacia dealbata in the valley of the river Mino (Galicia, Spain)/Contribution 1",Observational or correlational,Europe,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"Disturbance of the forest cover vegetation - unwooded, open or closed forest areas (fire frequency)",Fire,No,2014,"Case studies of the expansion of Acacia dealbata in the valley of the river Mino (Galicia, Spain)/Contribution 1","Case studies of the expansion of Acacia dealbata in the valley of the river Mino (Galicia, Spain)"
Feral sheep on Socorro Island: facilitators of alien plant colonization and ecosystem decay/Contribution 1,Observational or correlational,North America,Occurrence of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,16,Testing the disturbance hypothesis in invasion biology,grazing by sheep (Ovis aries) - shepp impacted and unimpacted areas (introduced by humans),Economic land use,Yes,2008,Feral sheep on Socorro Island: facilitators of alien plant colonization and ecosystem decay/Contribution 1,Feral sheep on Socorro Island: facilitators of alien plant colonization and ecosystem decay
"The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa/Contribution 1",Experimental,Africa,Biomass of exotic species ,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,high and low intensity of fire,Fire,No,2011,"The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa/Contribution 1","The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa"
"The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa/Contribution 2",Experimental,Africa,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,high and low intensity of fire,Fire,No,2011,"The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa/Contribution 2","The impact of fire, and its potential role in limiting the distribution of Bryophyllum delagoense (Crassulaceae) in southern Africa"
"





Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan/Contribution 1",Observational or correlational,Asia,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,13,Testing the disturbance hypothesis in invasion biology,"different levels of anthropogenic activities, distance to roads ( e.g. recreation areas, conservation area)  (national park)",Others,Yes,2009,"





Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan/Contribution 1","





Patterns of plant invasions in the preserves and recreation areas of Shei-Pa National Park in Taiwan"
